iter	Passed	Remaining
0	10	10076
1	18	9220
2	28	9333
3	38	9678
4	47	9409
5	57	9494
6	66	9407
7	75	9387
8	87	9643
9	100	9942
10	109	9858
11	119	9855
12	129	9817
13	139	9807
14	149	9803
15	160	9862
16	171	9939
17	186	10149
18	200	10338
19	214	10516
20	224	10460
21	234	10443
22	248	10555
23	265	10783
24	275	10731
25	285	10705
26	295	10661
27	305	10596
28	315	10579
29	325	10516
30	337	10558
31	349	10557
32	358	10507
33	368	10470
34	378	10443
35	389	10436
36	403	10513
37	414	10494
38	425	10472
39	436	10483
40	447	10464
41	458	10451
42	468	10423
43	479	10407
44	490	10407
45	501	10403
46	512	10391
47	521	10351
48	533	10349
49	543	10325
50	555	10339
51	565	10306
52	575	10281
53	585	10258
54	596	10242
55	606	10221
56	617	10214
57	628	10214
58	645	10289
59	654	10259
60	665	10249
61	676	10237
62	686	10207
63	696	10185
64	706	10164
65	716	10134
66	726	10118
67	736	10097
68	748	10099
69	759	10085
70	769	10065
71	779	10047
72	789	10024
73	799	10004
74	809	9982
75	818	9952
76	827	9916
77	836	9884
78	845	9857
79	857	9860
80	867	9842
81	877	9824
82	887	9803
83	903	9852
84	914	9840
85	926	9844
86	939	9861
87	949	9839
88	960	9836
89	972	9831
90	983	9824
91	994	9812
92	1004	9797
93	1014	9779
94	1024	9763
95	1035	9754
96	1046	9739
97	1056	9721
98	1066	9706
99	1076	9689
100	1087	9681
101	1098	9673
102	1109	9661
103	1119	9645
104	1129	9630
105	1141	9631
106	1152	9618
107	1165	9622
108	1179	9639
109	1189	9623
110	1201	9626
111	1212	9613
112	1222	9595
113	1233	9584
114	1244	9574
115	1254	9559
116	1265	9548
117	1276	9543
118	1286	9527
119	1297	9517
120	1309	9510
121	1319	9497
122	1330	9486
123	1341	9475
124	1351	9459
125	1362	9449
126	1372	9437
127	1388	9456
128	1399	9450
129	1409	9434
130	1420	9425
131	1433	9426
132	1445	9420
133	1455	9408
134	1466	9394
135	1476	9379
136	1486	9365
137	1498	9359
138	1509	9348
139	1520	9338
140	1531	9328
141	1541	9317
142	1552	9303
143	1564	9302
144	1575	9292
145	1586	9280
146	1597	9271
147	1608	9259
148	1621	9260
149	1636	9273
150	1647	9260
151	1657	9246
152	1673	9261
153	1684	9254
154	1695	9245
155	1706	9232
156	1718	9225
157	1729	9216
158	1740	9204
159	1752	9199
