iter	RMSE
0	603.780795
1	513.8922677
2	451.2046181
3	408.1838272
4	376.6036746
5	350.0660029
6	332.9957794
7	319.5783997
8	308.7638654
9	299.120506
10	290.7568675
11	285.2127658
12	280.0437742
13	276.294826
14	272.9889467
15	268.8156879
16	265.83912
17	263.5355282
18	261.3019258
19	258.624908
20	256.2401556
21	252.8665574
22	251.3435417
23	248.4447981
24	246.7402891
25	244.3614298
26	243.5258368
27	242.3791623
28	240.8609709
29	238.9830285
30	237.6192269
31	236.6079759
32	234.1627082
33	232.3431139
34	229.5092957
35	228.6133394
36	227.6566417
37	227.0343159
38	224.7781599
39	223.4475551
40	223.1393265
41	222.5265581
42	221.8652249
43	221.2965706
44	219.7399764
45	218.2804666
46	217.2316849
47	216.9087056
48	216.3385775
49	215.6800313
50	214.3935433
51	214.1644387
52	212.8457864
53	212.516105
54	211.173429
55	209.9733899
56	208.7934819
57	208.6023516
58	207.5879926
59	206.8190693
60	205.1231324
61	204.3639317
62	203.5492886
63	202.5247136
64	202.1987309
65	201.5548373
66	201.1450335
67	200.4226637
68	199.5293242
69	199.1180458
70	198.2880959
71	197.6027097
72	196.9518615
73	196.6991426
74	196.0818849
75	195.5565926
76	195.4527052
77	194.8603308
78	194.4675263
79	193.8452725
80	193.4100506
81	193.1038055
82	192.8251462
83	192.2717671
84	192.0761691
85	191.6776431
86	191.1800961
87	190.8095948
88	190.3371402
89	189.8649061
90	189.5946615
91	189.3673066
92	189.2510997
93	189.1388834
94	188.611394
95	188.4268641
96	188.0342196
97	187.8342175
98	187.778251
99	187.2980429
