iter	Passed	Remaining
0	2	209
1	3	174
2	4	152
3	5	137
4	6	127
5	7	119
6	8	115
7	9	112
8	10	109
9	11	105
10	12	101
11	13	99
12	14	96
13	15	94
14	16	91
15	17	91
16	19	95
17	20	93
18	21	90
19	22	88
20	22	86
21	23	84
22	24	82
23	25	81
24	26	79
25	27	78
26	28	76
27	29	75
28	30	73
29	31	72
30	31	71
31	33	70
32	34	69
33	35	68
34	36	68
35	38	67
36	39	66
37	40	66
38	41	64
39	42	63
40	43	62
41	44	61
42	45	59
43	46	58
44	47	58
45	48	57
46	49	56
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	64	40
61	65	39
62	66	38
63	67	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	23
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	87	15
85	88	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
