id,laptop_ID,Company,Product,TypeName,Inches,OpSys,Price_euros,Peso_kg,RAM_GB,SSD_GB,HDD_GB,Flash_Storage_GB,Hybrid_GB,Modelo_Serie_CPU,Velocidad_CPU_GHz,Cores_CPU,CPU_Intel,CPU_AMD,GPU_AMD,GPU_Intel,GPU_Nvidia,GPU_tipo_serie,Num_Pixeles,Screen_IPS,Screen_HD,Screen_Touchscreen,Screen_4K,Screen_Retina,Screen_QuadHD+
268,1002,Dell,Inspiron 5567,Notebook,15.6,Windows 10,749.0,2.36,8,0,1000,0,0,Core i7,2.7,1,1,0,1,0,0,Radeon R7 M445,1049088,0,0,0,0,0,0
347,867,Asus,X541NA (N4200/4GB/1TB/W10),Notebook,15.6,Windows 10,449.0,2.0,4,0,1000,0,0,Pentium Quad Core N4200,1.1,4,1,0,0,1,0,HD Graphics 505,1049088,0,0,0,0,0,0
353,966,Toshiba,Portege Z30-C-1CW,Notebook,13.3,Windows 7,1460.0,1.2,8,256,0,0,0,Core i5,2.3,1,1,0,0,1,0,HD Graphics 520,2073600,0,1,0,0,0,0
578,767,Dell,Alienware 17,Gaming,15.6,Windows 10,2868.99,4.42,16,256,1000,0,0,Core i7,2.8,1,1,0,0,0,1,GeForce GTX 1070,8294400,1,1,0,1,0,0
42,1241,Dell,Latitude E7270,Ultrabook,12.5,Windows 7,1713.37,1.26,8,256,0,0,0,Core i5,2.4,1,1,0,0,1,0,HD Graphics 520,2073600,0,1,1,0,0,0
867,376,Asus,ZenBook Flip,2 in 1 Convertible,15.6,Windows 10,1099.0,2.26,12,512,2000,0,0,Core i7,2.7,1,1,0,0,0,1,GeForce GT 940MX,2073600,0,1,1,0,0,0
1136,60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Linux,415.0,2.0,4,256,0,0,0,Core i3,2.0,1,1,0,0,1,0,HD Graphics 520,2073600,0,1,0,0,0,0
609,1157,MSI,GP62M 7RDX,Gaming,15.6,Windows 10,1142.8,2.4,8,128,1000,0,0,Core i7,2.8,1,1,0,0,0,1,GeForce GTX 1050,2073600,0,1,0,0,0,0
474,110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,Windows 10,1193.0,1.3,8,256,0,0,0,Core i7,2.7,1,1,0,0,0,1,GeForce 940MX,2073600,1,1,0,0,0,0
838,1263,Asus,Rog GL553VE-FY052T,Gaming,15.6,Windows 10,1600.0,2.5,16,256,1000,0,0,Core i7,2.8,1,1,0,0,0,1,GeForce GTX 1050 Ti,2073600,1,1,0,0,0,0
851,1243,Asus,X540SA-RBPDN09 (N3710/4GB/1TB/W10),Notebook,15.6,Windows 10,309.0,2.65,4,0,1000,0,0,Pentium Quad Core N3710,1.6,4,1,0,0,1,0,HD Graphics 405,1049088,0,0,0,0,0,0
904,79,Dell,Inspiron 5570,Notebook,15.6,Windows 10,855.0,2.02,8,128,1000,0,0,Core i7,1.8,1,1,0,0,1,0,UHD Graphics 620,2073600,0,1,0,0,0,0
355,957,Toshiba,Tecra A50-C-1ZV,Notebook,15.6,Windows 10,1119.0,2.2,8,256,0,0,0,Core i5,2.3,1,1,0,0,1,0,HD Graphics 520,1049088,0,0,0,0,0,0
44,579,HP,15-cd005nv (A9-9420/6GB/256GB/Radeon,Notebook,15.6,Windows 10,649.0,1.95,6,256,0,0,0,A9-Series A9-9420,3.0,1,0,1,1,0,0,Radeon 530,2073600,1,1,0,0,0,0
36,834,Toshiba,Satellite Pro,Notebook,14.0,Windows 10,499.0,1.75,4,128,0,0,0,Pentium Dual Core,2.1,2,1,0,0,1,0,HD Graphics 510,1049088,0,0,0,0,0,0
971,82,Dell,Latitude 5590,Ultrabook,15.6,Windows 10,1096.16,1.88,8,256,0,0,0,Core i5,1.6,1,1,0,0,1,0,UHD Graphics 620,2073600,1,1,0,0,0,0
938,159,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,Windows 10,629.0,1.74,4,256,0,0,0,Core i3,2.4,1,1,0,0,1,0,HD Graphics 620,2073600,1,1,1,0,0,0
718,332,Acer,Aspire E5-575,Notebook,15.6,Windows 10,549.0,2.23,6,0,1000,0,0,Core i5,2.5,1,1,0,0,1,0,HD Graphics 620,1049088,0,0,0,0,0,0
518,617,Lenovo,Thinkpad P51,Notebook,15.6,Windows 10,4899.0,2.5,32,1000,0,0,0,Xeon E3-1535M v6,3.1,1,1,0,0,0,1,Quadro M2200M,8294400,1,1,0,1,0,0
1126,172,Acer,Aspire A517-51G,Notebook,17.3,Windows 10,854.0,3.0,8,256,0,0,0,Core i5,1.6,1,1,0,0,0,1,GeForce MX150,2073600,1,1,0,0,0,0
51,1097,Lenovo,Yoga Book,2 in 1 Convertible,10.1,Windows 10,646.27,0.69,4,0,0,64,0,Atom x5-Z8550,1.44,1,1,0,0,1,0,HD Graphics 400,2304000,1,0,1,0,0,0
772,717,HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,17.3,Windows 10,655.01,2.71,6,0,2000,0,0,A10-Series,2.5,1,0,1,1,0,0,Radeon 530,2073600,1,1,0,0,0,0
1001,814,HP,EliteBook 820,Netbook,12.5,Windows 10,1389.0,1.26,8,256,0,0,0,Core i5,2.6,1,1,0,0,1,0,HD Graphics 620,1049088,0,0,0,0,0,0
330,202,HP,Omen 17-W295,Gaming,17.3,Windows 10,1379.0,3.35,16,256,1000,0,0,Core i7,2.8,1,1,0,0,0,1,GeForce GTX 1050,2073600,1,1,0,0,0,0
66,405,Dell,Precision M5520,Workstation,15.6,Windows 10,2712.0,1.78,8,256,0,0,0,Core i7,2.8,1,1,0,0,0,1,Quadro M1200,8294400,0,1,1,1,0,0
829,41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Linux,389.0,2.0,4,0,1000,0,0,Core i3,2.0,1,1,0,0,1,0,HD Graphics 620,2073600,0,1,0,0,0,0
1129,741,Acer,Extensa EX2540-58KR,Notebook,15.6,Windows 10,559.0,2.4,4,0,500,0,0,Core i5,2.5,1,1,0,0,1,0,HD Graphics 620,1049088,0,0,0,0,0,0
1197,983,Lenovo,IdeaPad 310-15IKB,Notebook,15.6,Windows 10,695.0,2.4,6,256,0,0,0,Core i5,2.5,1,1,0,0,0,1,GeForce 920MX,2073600,0,1,0,0,0,0
171,407,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Windows 10,306.0,2.2,4,0,1000,0,0,Celeron Dual Core N3350,1.1,2,1,0,0,1,0,HD Graphics 500,1049088,0,0,0,0,0,0
233,323,HP,ProBook 640,Notebook,14.0,Windows 10,980.0,1.95,8,256,0,0,0,Core i5,2.5,1,1,0,0,1,0,HD Graphics 620,2073600,0,1,0,0,0,0
205,166,Dell,Inspiron 3576,Notebook,15.6,Windows 10,728.0,2.13,8,256,0,0,0,Core i5,1.6,1,1,0,1,0,0,Radeon 520,2073600,0,1,0,0,0,0
361,309,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,Windows 10,1265.0,2.5,8,128,1000,0,0,Core i7,2.8,1,1,0,0,0,1,GeForce GTX 1050 Ti,2073600,0,1,0,0,0,0
1250,1276,Lenovo,B51-80 (i7-6500U/8GB/1008GB/Radeon,Notebook,15.6,Windows 7,895.0,2.32,8,0,0,0,1000,Core i7,2.5,1,1,0,1,0,0,Radeon R5 M330,2073600,0,1,0,0,0,0
707,910,Dell,Vostro 3568,Notebook,15.6,Windows 10,614.0,2.18,4,0,1000,0,0,Core i3,2.0,1,1,0,1,0,0,Radeon R5 M420X,1049088,0,0,0,0,0,0
884,919,Acer,Chromebook CB5-571-C1DZ,Notebook,15.6,Chrome OS,359.0,2.2,4,0,0,16,0,Celeron Dual Core,1.5,2,1,0,0,1,0,HD Graphics,2073600,1,1,0,0,0,0
1071,1258,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,Windows 10,597.57,2.2,6,256,0,0,0,A12-Series,3.6,1,0,1,1,0,0,Radeon 530,2073600,0,1,0,0,0,0
95,895,Dell,Inspiron 3552,Notebook,15.6,Windows 10,369.0,2.2,4,0,500,0,0,Pentium Quad Core N3710,1.6,4,1,0,0,1,0,HD Graphics,1049088,0,0,0,0,0,0
745,1190,Asus,X553SA-XX021T (N3050/4GB/500GB/W10),Notebook,15.6,Windows 10,369.0,2.2,4,0,500,0,0,Celeron Dual Core N3050,1.6,2,1,0,0,1,0,HD Graphics,1049088,0,0,0,0,0,0
899,37,Acer,Aspire 3,Notebook,15.6,Linux,367.0,2.1,4,0,1000,0,0,Core i3,2.7,1,1,0,0,1,0,HD Graphics 620,1049088,0,0,0,0,0,0
313,333,Asus,VivoBook S15,Ultrabook,15.6,Windows 10,1049.9,1.7,8,256,0,0,0,Core i7,2.7,1,1,0,0,0,1,GeForce 940MX,2073600,0,1,0,0,0,0
1063,933,MSI,GL62M 7RD,Gaming,15.6,Windows 10,1119.91,2.2,8,128,1000,0,0,Core i5,2.5,1,1,0,0,0,1,GeForce GTX 1050,2073600,0,1,0,0,0,0
193,1066,Dell,Inspiron 5578,2 in 1 Convertible,15.6,Windows 10,1094.0,2.3,8,256,0,0,0,Core i5,2.7,1,1,0,0,1,0,HD Graphics 620,2073600,1,1,1,0,0,0
625,25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Windows 10,659.0,1.91,8,256,0,0,0,Core i7,1.8,1,1,0,0,1,0,HD Graphics 620,2073600,0,1,0,0,0,0
142,429,HP,ProBook 650,Notebook,15.6,Windows 10,1427.0,2.31,8,256,0,0,0,Core i7,2.9,1,1,0,0,1,0,HD Graphics 630,2073600,0,1,0,0,0,0
243,685,HP,Chromebook X360,2 in 1 Convertible,11.6,Chrome OS,495.0,1.4,8,0,0,64,0,Celeron Dual Core N3350,1.1,2,1,0,0,1,0,HD Graphics 500,1049088,0,0,1,0,0,0
1214,341,HP,EliteBook 840,Notebook,14.0,Windows 10,1268.0,1.48,8,256,0,0,0,Core i5,2.6,1,1,0,0,1,0,HD Graphics 620,2073600,0,1,0,0,0,0
1047,26,Dell,Inspiron 3567,Notebook,15.6,Windows 10,418.64,2.3,4,0,1000,0,0,Core i3,2.0,1,1,0,0,1,0,HD Graphics 520,1049088,0,0,0,0,0,0
648,882,Lenovo,IdeaPad 110-15ISK,Notebook,15.6,No OS,479.0,2.2,4,0,1000,0,0,Core i3,2.0,1,1,0,1,0,0,Radeon R5 M430,2073600,0,1,0,0,0,0
34,7,Apple,MacBook Pro,Ultrabook,15.4,Mac OS X,2139.97,2.04,16,0,0,256,0,Core i7,2.2,1,1,0,0,1,0,Iris Pro Graphics,5184000,1,0,0,0,1,0
804,1100,HP,EliteBook 840,Notebook,14.0,Windows 7,1030.99,1.54,4,0,500,0,0,Core i5,2.3,1,1,0,0,1,0,HD Graphics 520,2073600,0,1,0,0,0,0
872,555,HP,250 G6,Notebook,15.6,Windows 10,397.0,1.86,4,0,500,0,0,Core i3,2.0,1,1,0,0,1,0,HD Graphics 520,2073600,0,1,0,0,0,0
1297,1166,HP,EliteBook 850,Notebook,15.6,Windows 7,1579.0,1.88,8,256,0,0,0,Core i5,2.3,1,1,0,0,1,0,HD Graphics 520,2073600,0,1,0,0,0,0
192,720,Dell,Vostro 5568,Notebook,15.6,Linux,726.0,1.98,8,0,1000,0,0,Core i5,2.5,1,1,0,0,1,0,HD Graphics 620,2073600,0,1,0,0,0,0
451,443,HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,Windows 10,347.0,2.1,4,0,500,0,0,Celeron Dual Core N3060,1.6,2,1,0,0,1,0,HD Graphics 400,1049088,0,0,0,0,0,0
894,997,Fujitsu,LifeBook A556,Notebook,15.6,Windows 10,649.0,2.3,4,256,0,0,0,Core i5,2.3,1,1,0,0,1,0,HD Graphics 520,1049088,0,0,0,0,0,0
961,1051,Toshiba,Tecra Z40-C-136,Ultrabook,14.0,Windows 10,1725.0,1.47,8,256,0,0,0,Core i7,2.6,1,1,0,0,1,0,HD Graphics 520,2073600,1,1,0,0,0,0
1168,762,Lenovo,Thinkpad T460,Ultrabook,14.0,Windows 10,1096.0,1.7,4,180,0,0,0,Core i5,2.3,1,1,0,0,1,0,HD Graphics 520,2073600,0,1,0,0,0,0
966,1238,Lenovo,Thinkpad T560,Notebook,15.6,Windows 10,1529.0,2.3,8,256,0,0,0,Core i7,2.6,1,1,0,0,1,0,HD Graphics 520,2073600,1,1,0,0,0,0
794,633,Mediacom,SmartBook 140,Notebook,14.0,Windows 10,239.0,1.4,2,0,0,32,0,Atom x5-Z8350,1.44,1,1,0,0,1,0,HD Graphics,2073600,0,1,0,0,0,0
763,417,Lenovo,ThinkPad P51,Workstation,15.6,Windows 10,1925.0,2.67,8,512,0,0,0,Core i7,2.8,1,1,0,0,0,1,Quadro M1200,2073600,0,1,0,0,0,0
946,109,Lenovo,Ideapad 310-15ISK,Notebook,15.6,Windows 10,414.9,1.85,4,0,1000,0,0,Core i3,2.0,1,1,0,0,1,0,HD Graphics 520,2073600,0,1,0,0,0,0
